filename,num_nodes,num_arcs,num_conflicts,source,sink,max_flow_z,status,solve_time_sec
70_40_50_15_20.txt,70,1616,932673,1,70,32,OTTIMALE,24.7642
70_40_60_10_15.txt,70,1586,1119207,1,70,15,OTTIMALE,23.09
70_40_60_15_20.txt,70,1612,1119207,1,70,16,OTTIMALE,24.0078
70_50_30_10_15.txt,70,1905,874471,1,70,39,OTTIMALE,218.992
70_50_30_15_20.txt,70,1899,874471,1,70,49,OTTIMALE,77.5038
70_50_40_10_15.txt,70,1898,1165962,1,70,26,OTTIMALE,39.2341
70_50_40_15_20.txt,70,1910,1165962,1,70,47,OTTIMALE,43.1182
70_50_50_10_15.txt,70,1902,1457452,1,70,21,OTTIMALE,38.8685
70_50_50_15_20.txt,70,1893,1457452,1,70,30,OTTIMALE,39.2254
70_50_60_10_15.txt,70,1912,1748943,1,70,15,OTTIMALE,40.658
70_50_60_15_20.txt,70,1925,1748943,1,70,18,OTTIMALE,43.1946
70_60_30_10_15.txt,70,2195,1259325,1,70,38,OTTIMALE,179.3469
70_60_30_15_20.txt,70,2184,1259325,1,70,70,OTTIMALE,196.1024
70_60_40_10_15.txt,70,2205,1679101,1,70,34,OTTIMALE,69.7262
70_60_40_15_20.txt,70,2192,1679101,1,70,53,OTTIMALE,59.2425
70_60_50_10_15.txt,70,2185,2098876,1,70,22,OTTIMALE,56.3478
70_60_50_15_20.txt,70,2199,2098876,1,70,38,OTTIMALE,55.3577
70_60_60_10_15.txt,70,2224,2518651,1,70,13,OTTIMALE,58.2084
70_60_60_15_20.txt,70,2189,2518651,1,70,20,OTTIMALE,58.4253
80_30_30_10_15.txt,80,1642,538938,1,80,32,OTTIMALE,88.1171
80_30_30_15_20.txt,80,1645,538938,1,80,69,OTTIMALE,18.9301
80_30_40_10_15.txt,80,1652,718584,1,80,22,OTTIMALE,26.2059
80_30_40_15_20.txt,80,1631,718584,1,80,35,OTTIMALE,23.1233
80_30_50_10_15.txt,80,1637,898230,1,80,13,OTTIMALE,24.8956
80_30_50_15_20.txt,80,1647,898230,1,80,37,OTTIMALE,25.3013
80_30_60_10_15.txt,80,1658,1077876,1,80,12,OTTIMALE,27.6279
80_30_60_15_20.txt,80,1642,1077876,1,80,32,OTTIMALE,27.3808
80_40_30_10_15.txt,80,2130,958238,1,80,53,OTTIMALE,40.4334
80_40_30_15_20.txt,80,2076,958238,1,80,52,OTTIMALE,123.7658
80_40_40_10_15.txt,80,2099,1277651,1,80,26,OTTIMALE,52.9789
80_40_40_15_20.txt,80,2082,1277651,1,80,36,OTTIMALE,59.3732
80_40_50_10_15.txt,80,2073,1597064,1,80,23,OTTIMALE,52.5255
80_40_50_15_20.txt,80,2098,1597064,1,80,50,OTTIMALE,54.0957
80_40_60_10_15.txt,80,2106,1916476,1,80,26,OTTIMALE,56.5017
